
Non-selected data

  cod  gap   e0   1    2    3    4    5    6    7    8    9   10  sti
  49    1    0    1    1    1    1    1    1    1    0    0    0    7 
  50    0    0    1    1    1    1    1    1    1    1    1    1   10 
  51    0    0    1    1    1    1    1    1    1    1    1    1   10 
  52    1    0    0    0    1    1    1    1    1    1    1    1    8 
  53    1    0    1    1    1    1    1    1    1    0    0    0    7 
  54    0    0    1    1    1    1    1    1    1    1    1    1   10 
  55    0    0    1    1    1    1    1    1    1    1    1    1   10 
  56    0    0    1    1    1    1    1    1    1    1    1    1   10 
  57    1    0    1    1    1    1    1    0    0    0    0    0    5 
  58    0    0    1    1    1    1    1    1    1    1    1    1   10 
  59    0    0    1    1    1    1    1    1    1    1    1    1   10 
  60    1    0    1    1    1    1    1    0    0    0    0    0    5 
  61    0    0    1    1    1    1    1    1    1    1    1    1   10 
  62    2    0    0    1    1    1    1    1    1    1    1    0    8 
  63    0    0    1    1    1    1    1    1    1    1    1    1   10 
  64    1    0    1    1    1    1    1    1    1    1    0    0    8 
  65    0    0    1    1    1    1    1    1    1    1    1    1   10 
  66    1    0    1    1    1    1    1    1    1    0    0    0    7 
  67    0    0    1    1    1    1    1    1    1    1    1    1   10 
  68    1    0    1    1    1    1    0    0    0    0    0    0    4 
  69    1    0    1    1    1    1    1    1    1    1    1    0    9 
  70    0    0    1    1    1    1    1    1    1    1    1    1   10 
  71    1    0    1    1    1    1    0    0    0    0    0    0    4 
  72    0    0    1    1    1    1    1    1    1    1    1    1   10 
  73    0    0    1    1    1    1    1    1    1    1    1    1   10 
  74    1    0    1    1    1    1    1    1    1    0    0    0    7 
  75    1    0    1    1    1    1    1    1    1    1    1    0    9 
  76    0    0    1    1    1    1    1    1    1    1    1    1   10 
  77    1    0    1    1    1    1    1    1    1    1    1    0    9 
  78    0    0    1    1    1    1    1    1    1    1    1    1   10 
  79    1    0    1    1    1    1    0    0    0    0    0    0    4 
  80    0    0    1    1    1    1    1    1    1    1    1    1   10 
  81    0    0    1    1    1    1    1    1    1    1    1    1   10 
  82    0    0    1    1    1    1    1    1    1    1    1    1   10 
  83    2    0    0    1    1    1    1    1    1    1    0    0    7 
  84    1    0    1    1    1    0    0    0    0    0    0    0    3 
  85    2    0    0    0    1    1    1    1    0    0    0    0    4 
  86    0    0    1    1    1    1    1    1    1    1    1    1   10 
  87    2    0    0    0    1    1    1    0    0    0    0    0    3 
  88    0    0    1    1    1    1    1    1    1    1    1    1   10 
  89    0    0    1    1    1    1    1    1    1    1    1    1   10 
  90    0    0    1    1    1    1    1    1    1    1    1    1   10 
  91    0    0    1    1    1    1    1    1    1    1    1    1   10 
